Sex,Single Year of Age,VALUE
Male,Under 1 year,29610
Male,Under 1 year,346
Male,Under 1 year,3188
Male,Under 1 year,1269
Male,Under 1 year,2059
Male,Under 1 year,1855
Male,Under 1 year,1550
Male,Under 1 year,570
Male,Under 1 year,555
Male,Under 1 year,257
Male,Under 1 year,852
Male,Under 1 year,1406
Male,Under 1 year,481
Male,Under 1 year,594
Male,Under 1 year,910
Male,Under 1 year,910
Male,Under 1 year,686
Male,Under 1 year,1159
Male,Under 1 year,2135
Male,Under 1 year,822
Male,Under 1 year,1116
Male,Under 1 year,1017
Male,Under 1 year,678
Male,Under 1 year,405
Male,Under 1 year,1176
Male,Under 1 year,200
Male,Under 1 year,790
Male,Under 1 year,382
Male,Under 1 year,376
Male,Under 1 year,505
Male,Under 1 year,916
Male,Under 1 year,445
Male,1 year,28875
Male,1 year,347
Male,1 year,2937
Male,1 year,1245
Male,1 year,1987
Male,1 year,1922
Male,1 year,1535
Male,1 year,576
Male,1 year,517
Male,1 year,244
Male,1 year,809
Male,1 year,1403
Male,1 year,491
Male,1 year,556
Male,1 year,846
Male,1 year,862
Male,1 year,656
Male,1 year,1148
Male,1 year,2070
Male,1 year,811
Male,1 year,1148
Male,1 year,936
Male,1 year,664
Male,1 year,362
Male,1 year,1135
Male,1 year,204
Male,1 year,776
Male,1 year,380
Male,1 year,383
Male,1 year,527
Male,1 year,963
Male,1 year,435
Male,2 years,30236
Male,2 years,355
Male,2 years,3035
Male,2 years,1251
Male,2 years,2196
Male,2 years,1867
Male,2 years,1543
Male,2 years,620
Male,2 years,605
Male,2 years,301
Male,2 years,901
Male,2 years,1463
Male,2 years,489
Male,2 years,576
Male,2 years,914
Male,2 years,906
Male,2 years,729
Male,2 years,1144
Male,2 years,2184
Male,2 years,848
Male,2 years,1243
Male,2 years,957
Male,2 years,664
Male,2 years,406
Male,2 years,1188
Male,2 years,224
Male,2 years,795
Male,2 years,465
Male,2 years,404
Male,2 years,541
Male,2 years,988
Male,2 years,434
Male,3 years,31001
Male,3 years,376
