Sex,Age,Population
Male,0,29610
Male,0,346
Male,0,3188
Male,0,1269
Male,0,2059
Male,0,1855
Male,0,1550
Male,0,570
Male,0,555
Male,0,257
Male,0,852
Male,0,1406
Male,0,481
Male,0,594
Male,0,910
Male,0,910
Male,0,686
Male,0,1159
Male,0,2135
Male,0,822
Male,0,1116
Male,0,1017
Male,0,678
Male,0,405
Male,0,1176
Male,0,200
Male,0,790
Male,0,382
Male,0,376
Male,0,505
Male,0,916
Male,0,445
Male,1,28875
Male,1,347
Male,1,2937
Male,1,1245
Male,1,1987
Male,1,1922
Male,1,1535
Male,1,576
Male,1,517
Male,1,244
Male,1,809
Male,1,1403
Male,1,491
Male,1,556
Male,1,846
Male,1,862
Male,1,656
Male,1,1148
Male,1,2070
Male,1,811
Male,1,1148
Male,1,936
Male,1,664
Male,1,362
Male,1,1135
Male,1,204
Male,1,776
Male,1,380
Male,1,383
Male,1,527
Male,1,963
Male,1,435
Male,2,30236
Male,2,355
Male,2,3035
Male,2,1251
Male,2,2196
Male,2,1867
Male,2,1543
Male,2,620
Male,2,605
Male,2,301
Male,2,901
Male,2,1463
Male,2,489
Male,2,576
Male,2,914
Male,2,906
Male,2,729
Male,2,1144
Male,2,2184
Male,2,848
Male,2,1243
Male,2,957
Male,2,664
Male,2,406
Male,2,1188
Male,2,224
Male,2,795
Male,2,465
Male,2,404
Male,2,541
Male,2,988
Male,2,434
Male,3,31001
Male,3,376
Male,3,2875
Male,3,1304
Male,3,2223
Male,3,1997
Male,3,1611
Male,3,606
Male,3,648
Male,3,283
Male,3,816
Male,3,1539
Male,3,531
Male,3,590
Male,3,961
Male,3,976
Male,3,723
Male,3,1188
Male,3,2260
Male,3,867
Male,3,1193
Male,3,1029
Male,3,755
Male,3,410
Male,3,1247
Male,3,240
Male,3,814
Male,3,441
Male,3,420
Male,3,560
Male,3,1030
Male,3,488
Male,4,31686
Male,4,376
Male,4,2869
Male,4,1380
Male,4,2275
Male,4,2002
Male,4,1704
Male,4,616
Male,4,643
Male,4,276
Male,4,918
Male,4,1578
Male,4,519
Male,4,599
Male,4,1020
Male,4,1010
Male,4,739
Male,4,1142
Male,4,2358
Male,4,876
Male,4,1240
Male,4,1074
Male,4,756
Male,4,412
Male,4,1354
Male,4,223
Male,4,842
Male,4,427
Male,4,412
Male,4,555
Male,4,1042
Male,4,449
Male,5,32684
Male,5,384
Male,5,2793
Male,5,1442
Male,5,2387
Male,5,2107
Male,5,1692
Male,5,693
Male,5,641
Male,5,347
Male,5,897
Male,5,1601
Male,5,569
Male,5,659
Male,5,1022
Male,5,1063
Male,5,821
Male,5,1176
Male,5,2406
Male,5,938
Male,5,1294
Male,5,1083
Male,5,787
Male,5,437
Male,5,1326
Male,5,229
Male,5,880
Male,5,471
Male,5,427
